Facility ID,Score
50280,0.97
80003,1.01
141328,Not Available
190267,1.23
220010,1
230269,0.97
250060,1
281309,Not Available
330044,1.02
331303,Not Available
390013,0.95
391305,Not Available
451386,Not Available
520113,0.89
521325,Not Available
240104,0.87
60131,Not Available
101303,Not Available
10138,1.15
241328,Not Available
340187,1.01
150082,1.04
180036,1
113301,Not Available
330106,1.02
291300,Not Available
441322,Not Available
451392,Not Available
171326,Not Available
161371,Not Available
453313,Not Available
263301,Not Available
100154,1.08
521307,Not Available
510013,0.96
450299,1.02
201311,Not Available
150115,0.94
181311,Not Available
231307,Not Available
450203,1.12
160058,0.98
60103,0.98
450023,1.14
290009,0.88
450876,1.01
111327,Not Available
161339,Not Available
50230,1.06
320017,1
151307,Not Available
30083,0.97
330250,0.95
191301,Not Available
140197,1.07
140150,1.02
250097,1.01
250136,Not Available
521318,Not Available
351301,Not Available
450890,1.08
510024,1.05
371317,Not Available
100055,1.02
450573,1
510071,0.98
251333,Not Available
21307,Not Available
251326,Not Available
340148,0.9
231322,Not Available
240014,0.84
161324,Not Available
230085,0.85
171374,Not Available
330004,1.06
230239,0.85
471304,Not Available
420005,0.89
450788,1.02
190079,0.91
380082,0.92
230002,0.97
250019,1.09
450148,1.04
451371,Not Available
50586,0.88
440040,0.85
170200,0.91
140007,1.11
50169,0.96
420015,0.99
450647,1.02
181324,Not Available
390004,1.14
360156,1
260210,0.92
330226,0.91
141310,Not Available
100243,0.97
110006,0.95
331301,Not Available
490042,0.94
390084,1.03
420086,0.98
50135,1.28
60100,1.01
450399,1.03
111334,Not Available
41320,Not Available
270049,0.96
380071,0.81
210019,Not Available
101304,Not Available
191318,Not Available
150061,1.15
441305,Not Available
440133,1.02
330023,0.97
281356,Not Available
50737,1.14
193301,Not Available
271330,Not Available
261313,Not Available
271311,Not Available
450351,1.04
131309,Not Available
110109,0.87
220135,0.97
50548,Not Available
281319,Not Available
390036,1.04
450617,1.06
41303,Not Available
281303,Not Available
110069,0.99
10001,1.01
450143,0.95
140177,1.08
251320,Not Available
670095,Not Available
100087,1.04
390323,0.96
51303,Not Available
61319,Not Available
190312,1.05
150021,0.99
220063,0.99
220036,1.04
20001,0.91
170186,0.96
170194,1.06
140013,0.95
360172,1.12
180088,1.01
50589,1.13
451367,Not Available
50191,1.06
241380,Not Available
260047,0.95
200019,0.94
420049,0.93
140223,1.05
230264,Not Available
450694,1.01
390201,1.01
190025,1.11
360230,0.99
50336,0.94
110146,0.89
31300,Not Available
420051,0.98
140252,1.1
450462,1.08
50744,1.13
450677,0.97
140125,0.97
250151,0.93
271343,Not Available
51332,Not Available
340075,0.95
100062,1.05
500051,0.92
351321,Not Available
210058,Not Available
111302,Not Available
241340,Not Available
231330,Not Available
340001,0.99
171336,Not Available
160033,0.96
30013,1
231317,Not Available
370216,0.94
460043,Not Available
520027,0.97
490144,0.97
70004,0.91
100012,1.02
450834,0.93
150011,0.98
201314,Not Available
40078,1.06
50036,0.99
241361,Not Available
290046,1.12
130028,0.96
440235,1.17
490090,0.96
330079,0.92
450079,1.02
170039,0.86
431328,Not Available
300003,1.01
520062,1
440070,1.05
271326,Not Available
361320,Not Available
260094,0.93
260142,0.85
330386,0.98
230195,1.03
390237,1.01
161313,Not Available
321310,Not Available
301303,Not Available
381313,Not Available
390147,0.96
171358,Not Available
370094,1.03
380014,0.94
110209,1.24
280065,0.96
341326,Not Available
500129,0.93
360125,1.07
340023,0.94
281351,Not Available
160016,0.89
390052,0.98
160110,0.89
50099,1.02
340014,0.96
171308,Not Available
220015,1
670121,Not Available
450272,1.04
241378,Not Available
450092,1.1
360014,0.92
100030,0.99
130071,0.92
310003,0.99
170175,0.91
310010,0.99
230046,0.98
450087,1.09
10011,1.04
181323,Not Available
360036,0.95
521350,Not Available
100289,0.97
340158,0.89
140234,0.96
50496,0.95
30024,1.03
231312,Not Available
250067,0.92
41317,Not Available
171331,Not Available
231327,Not Available
330153,0.92
140091,0.99
50261,0.96
141343,Not Available
100298,Not Available
490116,1.04
50455,1
61308,Not Available
390123,0.99
50714,0.89
460014,1.05
260091,0.96
220095,1.05
190184,0.94
523302,Not Available
380091,0.8
330193,1.12
170110,0.93
60028,0.95
180103,1.07
530032,0.96
501311,Not Available
50017,0.94
61343,Not Available
150044,1.02
40029,1.02
60001,1
161307,Not Available
511319,Not Available
521339,Not Available
120006,0.89
100267,1.02
380022,0.85
511311,Not Available
140162,0.92
161356,Not Available
520100,0.96
451301,Not Available
440187,1.08
161367,Not Available
10021,0.98
241323,Not Available
180141,1.06
340173,0.96
520177,0.98
131303,Not Available
190160,1.07
160124,0.92
361306,Not Available
390195,0.98
460058,0.97
180046,0.94
440033,1.06
171348,Not Available
531309,Not Available
501305,Not Available
50279,0.93
10109,0.96
450871,1.06
180016,0.88
360058,0.99
381325,Not Available
350063,0.68
431311,Not Available
501321,Not Available
140082,1.14
290001,0.98
310024,1.14
190040,0.94
521322,Not Available
150051,1
50763,1.42
340143,0.97
230095,0.97
371302,Not Available
670006,1.02
371340,Not Available
403301,Not Available
360082,1
450883,1.15
450196,1.06
450597,1.1
50784,Not Available
410004,1.01
371337,Not Available
30088,0.97
320006,0.95
330406,0.91
360059,0.98
450656,1.08
350002,0.9
181331,Not Available
451307,Not Available
200063,0.91
50684,1
460023,0.92
520095,0.86
241312,Not Available
360179,0.99
140143,1.01
230015,0.85
100127,1.03
251302,Not Available
390030,0.99
80007,0.98
261335,Not Available
371309,Not Available
331315,Not Available
141349,Not Available
240044,0.87
531314,Not Available
261320,Not Available
201304,Not Available
310070,1.01
50561,0.98
400061,Not Available
141306,Not Available
490020,1.01
440009,0.97
503302,Not Available
100167,1.04
150090,1.04
420078,1.02
521311,Not Available
670023,1.14
271307,Not Available
290056,1.2
240187,0.91
141334,Not Available
70025,0.99
450774,1.03
210049,Not Available
370002,1
221300,Not Available
440125,0.94
270014,0.91
381310,Not Available
190050,1.01
150146,0.93
490046,0.91
100040,0.99
110011,1.02
390093,0.99
461310,Not Available
390314,0.9
171381,Not Available
281341,Not Available
330286,1.09
110075,1.02
370211,0.96
130007,0.97
220060,0.98
330166,Not Available
50149,0.96
501338,Not Available
391301,Not Available
230108,0.85
50769,0.93
150168,0.94
30111,0.93
240056,0.93
161377,Not Available
140292,1.09
110040,0.95
450046,1.1
423300,Not Available
260032,1.01
161328,Not Available
61323,Not Available
370049,0.98
281335,Not Available
100206,1
373300,Not Available
31305,Not Available
131321,Not Available
50327,1
371305,Not Available
140210,1.01
450709,1.12
190015,1.15
360026,0.99
101310,Not Available
33302,Not Available
191313,Not Available
440152,1.05
241346,Not Available
491303,Not Available
361326,Not Available
400113,Not Available
260004,0.86
371322,Not Available
110234,1.03
390228,0.98
310096,0.96
340069,1.01
400120,Not Available
451343,Not Available
230121,0.9
431332,Not Available
261318,Not Available
450484,0.99
210040,Not Available
271322,Not Available
141317,Not Available
140058,0.97
320085,1.04
450101,1.04
281307,Not Available
190133,0.96
390133,0.99
10087,1
340099,0.93
520013,0.96
241357,Not Available
151330,Not Available
171315,Not Available
363305,Not Available
500037,0.75
450848,0.97
100099,1.03
161311,Not Available
480001,Not Available
70040,Not Available
230059,0.95
100231,0.97
390156,0.97
50367,0.98
10046,0.97
670088,0.97
110132,0.86
100316,1.02
530011,0.91
360001,0.99
440003,1
120022,0.97
50058,1.09
171353,Not Available
370201,0.88
230036,0.94
220008,1.04
450211,1.02
451322,Not Available
180009,0.97
430089,0.88
173300,Not Available
210055,Not Available
330241,1.01
150179,0.86
171341,Not Available
151325,Not Available
370083,0.98
390065,0.98
453310,Not Available
50082,0.96
450055,1
230277,1.03
360089,0.9
450662,1.03
451338,Not Available
181319,Not Available
161345,Not Available
50116,1.05
440061,1.16
240214,0.86
51314,Not Available
521354,Not Available
151304,Not Available
271347,Not Available
260176,0.95
230217,0.91
330115,0.88
170103,0.95
220084,0.96
670061,0.85
490112,0.99
330102,1.01
451357,Not Available
50438,0.98
190255,0.88
450015,0.91
450010,1.12
240030,0.92
10078,1.05
210028,Not Available
170017,0.99
141339,Not Available
521357,Not Available
180138,0.93
280111,0.98
510086,0.73
260186,0.9
141301,Not Available
171363,Not Available
161352,Not Available
400003,Not Available
10049,1.02
420068,1.01
330215,0.94
520049,0.95
461335,Not Available
210004,Not Available
500084,0.9
61304,Not Available
340030,0.96
41329,Not Available
440102,1.1
450039,1.06
531313,Not Available
300029,1.01
50290,0.98
171369,Not Available
363304,Not Available
10102,0.93
121306,Not Available
160047,0.94
93300,Not Available
461301,Not Available
360359,1.01
520136,1
390025,0.71
370020,1.02
503301,Not Available
150008,1.1
361310,Not Available
520194,0.89
10029,0.94
181301,Not Available
450388,1.05
281364,Not Available
251317,Not Available
330403,Not Available
520087,0.98
450184,1.03
360266,0.93
341314,Not Available
493300,Not Available
51319,Not Available
381321,Not Available
190183,0.9
161300,Not Available
400132,Not Available
320001,1.06
330090,0.98
521310,Not Available
220175,1.03
501325,Not Available
230100,0.87
370047,0.98
31318,Not Available
310044,1.06
190046,1.02
360077,1.02
180024,1
150024,1.02
450825,0.81
360051,1.02
301311,Not Available
90003,0.95
451352,Not Available
251330,Not Available
670112,1.07
100106,1.03
350011,0.97
420070,1
501318,Not Available
371313,Not Available
250036,0.89
320061,0.79
50239,1.03
390116,1.01
50696,1
460041,1.02
201303,Not Available
390331,0.96
351309,Not Available
30006,1.01
310060,0.91
440104,1.06
210032,Not Available
271332,Not Available
670041,1.07
400079,Not Available
150100,0.99
261331,Not Available
200033,1
141338,Not Available
490130,0.9
241347,Not Available
53301,Not Available
150084,1.04
400022,Not Available
360109,0.87
410008,0.94
60044,0.96
100226,1.04
161381,Not Available
250044,0.95
110023,0.93
70031,1.01
100046,0.99
390101,1.09
100134,0.91
30043,0.93
50159,0.95
440002,1.08
310017,1.09
360068,1.04
191304,Not Available
451330,Not Available
390223,1
150058,0.99
143301,Not Available
490013,0.94
493301,Not Available
381306,Not Available
241313,Not Available
171316,Not Available
161325,Not Available
370078,1.03
431315,Not Available
440183,1.02
281322,Not Available
450651,1.14
360002,0.97
271319,Not Available
191310,Not Available
330276,0.94
110044,0.94
50204,1.01
140200,1.01
431310,Not Available
223302,Not Available
521315,Not Available
371325,Not Available
440053,0.99
270074,0.63
240001,0.92
40018,0.94
161332,Not Available
501331,Not Available
123301,Not Available
140065,1.07
341329,Not Available
440227,0.97
110082,0.95
320018,1.04
281331,Not Available
421300,Not Available
260023,1.01
50775,0.95
50526,1.14
461306,Not Available
30115,0.92
310051,1.04
170176,1.01
261306,Not Available
210056,Not Available
100175,0.98
310031,1.03
103300,Not Available
51307,Not Available
360016,1.03
190241,1.35
310073,1.05
451316,Not Available
390163,0.96
450518,1.14
60119,1
100254,0.99
440161,0.98
210011,Not Available
390058,1.02
151317,Not Available
380005,0.91
380029,0.85
330196,1.11
500003,0.93
240206,Not Available
260180,0.98
400125,Not Available
131313,Not Available
170012,1.02
40007,1.02
530008,0.89
10039,1.01
140103,1.01
453304,Not Available
141321,Not Available
500014,0.94
400014,Not Available
230133,0.85
281311,Not Available
150074,1.02
180139,0.84
50380,1.03
100286,0.98
210008,Not Available
451381,Not Available
670060,1.11
321300,Not Available
161349,Not Available
10092,1
171349,Not Available
520004,0.92
110125,0.96
20018,0.8
260068,0.97
60013,0.96
530025,0.94
150158,0.95
171311,Not Available
450108,0.98
111312,Not Available
361304,Not Available
50054,1.03
490004,0.91
100073,1.03
190007,1.17
160005,0.9
490101,0.95
100307,1
351333,Not Available
50360,0.97
140030,1.02
291306,Not Available
331311,Not Available
50125,0.97
670078,0.64
390070,0.99
370210,0.94
520206,0.94
450068,1.04
410012,0.98
213300,Not Available
30110,1.02
171307,Not Available
430095,0.96
500031,0.95
340166,0.95
280013,1.01
451342,Not Available
310118,1.05
40152,1.02
450229,1.06
240084,0.82
230071,1.13
531308,Not Available
171382,Not Available
440151,1.04
420106,0.95
471307,Not Available
50060,0.99
190099,1.11
500072,0.93
50492,1.03
250123,1.02
190303,1.17
510055,0.99
161364,Not Available
10110,1.27
340114,0.94
50110,0.99
151300,Not Available
220075,0.98
360197,0.98
500124,0.95
511301,Not Available
520038,0.89
400010,Not Available
390272,0.75
10168,0.94
501302,Not Available
201307,Not Available
190116,1.04
330188,0.93
361321,Not Available
490063,1
520059,0.96
260108,0.97
441309,Not Available
280127,0.85
131326,Not Available
43301,Not Available
141305,Not Available
470003,1
370028,1.03
450586,0.93
370014,1.07
670069,1.12
191325,Not Available
10056,1.04
330127,1
440018,1.07
521342,Not Available
501335,Not Available
270003,0.89
230030,1.01
241304,Not Available
241352,Not Available
40076,0.88
501314,Not Available
161359,Not Available
340017,0.95
670120,1.1
460001,1.02
241367,Not Available
160079,0.88
50570,1.08
110031,1.01
370227,0.85
290022,1.14
220030,0.97
50633,0.96
30131,0.91
500151,0.88
161335,Not Available
390180,1.06
390001,1.01
150035,1.08
100051,0.95
180035,1.02
490119,0.92
450032,1.05
450346,1.03
251313,Not Available
521330,Not Available
181307,Not Available
230077,1
360351,0.97
100113,1.02
451375,Not Available
450162,1
510006,0.93
231318,Not Available
351324,Not Available
450828,1.1
190278,0.98
31312,Not Available
161320,Not Available
450639,1.05
231303,Not Available
53305,Not Available
380052,0.93
471300,Not Available
151311,Not Available
340127,0.89
50468,1.17
430016,0.98
210037,Not Available
510038,0.92
521347,Not Available
370153,0.84
330009,0.96
120005,0.93
140012,0.9
330265,0.88
171373,Not Available
490052,1.01
50118,0.95
271300,Not Available
420023,0.98
50248,1.01
250009,0.98
450558,1.13
360148,0.87
300018,0.99
160083,0.96
390042,0.97
261338,Not Available
241366,Not Available
60065,0.99
150109,0.98
40067,1.03
390185,1.05
60132,Not Available
390073,1.1
420098,0.95
450419,0.99
41324,Not Available
330234,1.12
180078,0.94
50603,0.99
140080,1.05
100217,1
200024,1.01
390012,0.96
451348,Not Available
390183,0.9
200041,0.97
450718,1.05
231337,Not Available
21312,Not Available
41307,Not Available
191306,Not Available
400103,Not Available
331305,Not Available
450370,1.17
220111,1.04
30030,1.05
50724,0.98
140115,1.02
110050,0.8
250093,1.02
151322,Not Available
451334,Not Available
111323,Not Available
50174,0.99
371329,Not Available
51324,Not Available
250001,1.02
390326,0.91
180064,0.99
280134,1.05
230093,0.88
450132,1.1
220071,1.01
281314,Not Available
370112,0.96
100142,1.07
11305,Not Available
370172,0.82
360009,1.04
451312,Not Available
171321,Not Available
50192,0.92
670103,1.04
251325,Not Available
110121,0.93
330003,0.87
360123,1.01
521302,Not Available
140182,1.01
150004,1.09
230241,0.96
121302,Not Available
431337,Not Available
100180,1.09
451363,Not Available
440194,0.95
230054,1.02
110001,0.94
50588,1.12
380040,0.88
60009,0.96
271339,Not Available
110164,0.99
100069,0.99
340049,0.86
30101,0.92
191321,Not Available
450431,1.03
230174,0.96
140155,0.95
50305,1.01
70008,1.02
670054,1.04
260057,1.04
261323,Not Available
390211,0.97
210063,Not Available
450747,1.03
351316,Not Available
460051,1.02
151315,Not Available
50042,0.92
450670,1.15
290039,1.08
330140,0.93
360245,0.83
431305,Not Available
250061,0.84
330201,1.06
140280,0.94
10118,0.99
60114,1
210016,Not Available
100296,0.99
70017,0.98
241318,Not Available
381317,Not Available
100019,1.06
40114,1.02
420110,Not Available
161317,Not Available
271314,Not Available
50070,0.78
110095,0.93
390139,1
420065,1
100277,0.79
210003,Not Available
520034,0.92
440060,1.04
280032,0.95
190202,1
130066,0.93
341322,Not Available
280105,0.93
50506,1.02
500025,0.98
140040,1
30069,0.92
171362,Not Available
450865,1.1
261310,Not Available
100081,1.07
260064,0.88
340087,0.92
151333,Not Available
321306,Not Available
360134,1.01
50301,0.88
170074,0.95
490077,0.94
420037,0.92
240036,0.95
20006,0.79
150165,1.06
30071,0.73
61313,Not Available
450686,1.04
371333,Not Available
230020,1.05
110229,0.98
431322,Not Available
520109,0.86
450237,1.08
361333,Not Available
330080,0.93
241372,Not Available
50350,1.03
150153,0.95
110191,0.99
330055,1.03
250078,1.01
450678,1.1
291311,Not Available
370236,1
161303,Not Available
670128,Not Available
30014,1.04
231316,Not Available
320038,0.85
41312,Not Available
160032,0.89
361315,Not Available
650003,Not Available
220020,0.97
50407,0.81
140224,1.03
330065,0.94
340050,0.91
10005,1.01
520071,0.86
171340,Not Available
441314,Not Available
391314,Not Available
140002,0.92
500054,1
180116,1.06
141316,Not Available
50008,0.95
390304,1.01
100248,1.12
490033,0.86
360368,Not Available
260137,0.99
240075,0.84
450080,1.04
170027,0.98
521335,Not Available
531304,Not Available
50704,1.2
460009,1.03
50748,0.94
50103,1.02
10150,0.9
390113,0.98
310083,1.16
381302,Not Available
241335,Not Available
180115,1.03
360218,0.97
40047,1.03
511307,Not Available
281347,Not Available
340096,0.94
330239,0.97
220105,0.98
450855,0.97
511315,Not Available
390150,0.93
450804,0.91
171301,Not Available
320084,0.98
380017,0.92
200039,0.98
390006,1.03
670125,Not Available
340024,0.88
50096,1.53
180010,1.03
130073,Not Available
171344,Not Available
450056,1.05
331302,Not Available
360121,1.13
230037,0.91
360013,1.02
391306,Not Available
50069,1
361319,Not Available
340156,0.9
140239,1
41302,Not Available
50503,0.97
10012,1.02
521351,Not Available
110027,1.05
41318,Not Available
440231,Not Available
10114,1.02
50262,1.02
390037,1.04
390137,1.15
453311,Not Available
390050,1.07
30016,0.92
50717,0.97
460015,0.9
110071,0.96
50454,0.98
490113,0.95
393302,Not Available
330394,0.94
370173,0.8
241334,Not Available
370180,0.81
521336,Not Available
61344,Not Available
501310,Not Available
531305,Not Available
271304,Not Available
50022,1.05
50757,1.03
390324,0.83
180102,1
281334,Not Available
161308,Not Available
430012,0.93
61314,Not Available
50779,0.98
100122,1.01
450422,1.05
360161,1.08
511312,Not Available
370023,0.97
300011,1.03
110032,0.91
440197,1.02
11306,Not Available
150045,1
40027,0.96
520098,0.97
390197,1
140217,1.14
400122,Not Available
260048,0.9
240106,0.98
140117,1.16
100057,0.95
360234,1.01
231331,Not Available
100156,1.02
150125,1.09
521303,Not Available
50272,0.96
450489,0.94
230130,0.99
370218,0.98
161340,Not Available
210043,Not Available
180154,Not Available
231306,Not Available
190140,1.17
450840,1.04
500036,0.91
320003,0.83
40088,1.03
50231,1
150056,1.03
50764,0.92
431333,Not Available
241362,Not Available
250099,1.01
521323,Not Available
250138,1
351302,Not Available
291313,Not Available
21308,Not Available
230279,0.76
130025,1
450668,1.03
181332,Not Available
450889,1.08
271327,Not Available
290045,1.05
490092,0.85
330028,1.04
301304,Not Available
450775,1.08
190081,0.96
330332,1.1
80006,1.02
201300,Not Available
260095,1.02
230193,0.96
390256,1.01
451374,Not Available
321307,Not Available
230017,0.94
171377,Not Available
381314,Not Available
440034,0.95
120026,0.95
181325,Not Available
100128,1
341323,Not Available
121308,Not Available
420048,0.98
140137,0.92
141348,Not Available
261328,Not Available
310006,1.04
281350,Not Available
50136,0.94
430097,0.95
310054,1.09
250020,1.05
260195,0.94
151326,Not Available
210022,Not Available
181318,Not Available
110007,0.94
370018,1.05
110100,0.87
140294,0.98
101305,Not Available
510077,0.79
100039,1.08
131317,Not Available
281362,Not Available
440130,1.1
261314,Not Available
420109,0.85
313300,Not Available
100189,1.04
150149,Not Available
450634,1.03
281320,Not Available
330073,0.94
450369,0.98
241379,Not Available
111324,Not Available
400011,Not Available
100088,1.02
120007,0.99
110087,0.96
281300,Not Available
170020,0.95
281357,Not Available
441310,Not Available
500152,0.94
150169,1.05
171319,Not Available
250050,1
141329,Not Available
500050,0.9
501337,Not Available
50084,0.98
43300,Not Available
140049,1.02
100268,1.11
50179,1
521356,Not Available
171309,Not Available
140164,1.04
10055,1.02
180056,1.05
240019,1.04
10079,1.01
140286,0.99
60003,1.03
240057,0.95
30121,0.99
340188,0.89
161372,Not Available
470001,0.91
190026,1.06
100179,1.03
51309,Not Available
180038,1
50295,0.98
161357,Not Available
400019,Not Available
50075,0.98
10139,1.07
431308,Not Available
340061,0.98
491304,Not Available
450872,0.99
431318,Not Available
520076,0.93
450460,0.87
451328,Not Available
50393,1.09
361329,Not Available
351318,Not Available
361323,Not Available
40014,1.02
50335,0.86
70018,1.01
380001,0.9
453316,Not Available
450024,1.03
60104,0.96
331319,Not Available
520021,0.97
283301,Not Available
360131,1.06
50411,0.85
510023,1
360081,1.04
520008,1.03
191302,Not Available
50030,0.82
490032,0.99
100110,1.01
10040,1.06
440081,0.91
171359,Not Available
240064,0.92
151308,Not Available
30078,0.79
230089,0.93
30134,0.88
440072,1.04
340107,0.96
100168,1.05
240018,0.89
330259,1.16
260216,0.95
363306,Not Available
100008,1.03
451361,Not Available
670055,1.07
280077,0.95
420010,0.98
360362,0.92
260160,0.88
10062,0.99
390157,1.12
420053,0.96
450644,1.12
371310,Not Available
440006,1.06
141311,Not Available
230047,1.02
450034,1.05
390071,0.89
450697,1.09
370097,0.95
201315,Not Available
170201,Not Available
370089,0.98
340032,0.96
20017,0.89
160112,0.9
450213,1.04
370199,Not Available
110018,1.06
370034,0.92
50547,Not Available
360155,1
450271,1.16
261332,Not Available
490048,1.02
360259,0.95
270051,0.95
220012,0.99
40153,0.92
100244,1.04
490021,0.95
320065,0.95
51315,Not Available
50599,0.95
330222,0.9
111335,Not Available
450400,1.09
41323,Not Available
191315,Not Available
370029,0.89
171342,Not Available
400087,Not Available
451341,Not Available
40019,0.88
50224,1
151303,Not Available
290057,1.11
453301,Not Available
10128,1.03
310002,1.06
440063,1.03
521355,Not Available
210051,Not Available
371311,Not Available
450742,1.11
60075,1.02
521332,Not Available
261319,Not Available
271308,Not Available
380102,0.9
220086,1.02
360003,1.08
281325,Not Available
360348,0.91
100299,1.07
100253,0.99
301307,Not Available
170196,0.95
251322,Not Available
330119,1.04
451356,Not Available
50426,1.04
370212,1.02
330103,0.94
370166,0.93
360085,1.02
390125,1.05
351313,Not Available
431316,Not Available
371321,Not Available
390270,1
21302,Not Available
391302,Not Available
50129,1.03
140174,0.98
330221,0.95
500079,0.92
220046,1.03
210005,Not Available
150022,0.89
430005,0.9
61318,Not Available
450007,1.02
520208,1.01
400006,Not Available
180092,0.93
161327,Not Available
450044,0.96
230222,0.96
190313,0.98
490117,0.85
171364,Not Available
51333,Not Available
241329,Not Available
290005,1.05
50742,1.17
100209,1.02
451391,Not Available
100329,1.05
241305,Not Available
390231,0.96
360095,1
140127,0.95
50528,0.95
501304,Not Available
390203,0.96
191314,Not Available
190151,1.01
241308,Not Available
50636,0.96
140251,1.11
180017,0.97
131304,Not Available
111330,Not Available
251316,Not Available
241343,Not Available
501320,Not Available
100052,1.03
341311,Not Available
350064,Not Available
251337,Not Available
450137,1.07
70003,1.1
140209,0.96
241341,Not Available
160040,0.98
281306,Not Available
